    ar	ai
0.005886	-0.000031
-0.000679	0.003637
-0.002208	-0.002058
0.008024	-0.007168
0.002647	0.004919
-0.002577	-0.000032
-0.004857	-0.004531
0.002019	-0.006124
0.005838	0.003148
-0.003993	0.004875
0.000484	-0.004035
0.005827	-0.002475
0.003028	-0.009221
0.012260	0.005147
-0.000936	-0.003162
0.004802	-0.005639
0.002665	-0.002862
0.001273	-0.000050
-0.004489	-0.004645
0.004134	-0.008354
0.008932	0.003315
0.001148	0.002574
0.001591	-0.001460
0.001742	-0.001745
0.010320	-0.005741
0.005742	0.001116
-0.000532	-0.000382
0.000070	-0.004450
0.003991	-0.004633
0.005106	-0.002408
-0.005507	-0.003025
-0.003497	-0.000671
0.002553	-0.001862
0.003476	-0.003369
-0.004360	-0.001145
-0.001501	-0.000958
0.002075	0.003330
0.004541	-0.004792
0.006625	0.000122
-0.001681	-0.001975
0.000356	-0.004022
0.003249	0.001421
0.000691	-0.001115
0.005210	0.000756
-0.001121	-0.000491
0.000787	-0.002472
0.001019	-0.001505
0.005680	-0.001936
0.003051	0.002156
0.001696	-0.002452
0.007110	-0.003216
0.003440	0.001130
0.001572	-0.005033
0.001691	-0.004355
0.002103	-0.001439
0.004016	-0.001188
0.004859	0.000980
-0.002322	0.000703
-0.006007	-0.007285
0.011398	-0.003094
0.001486	0.006353
0.002589	-0.005296
0.005202	-0.000855
0.003126	-0.003061
0.004890	0.002338
-0.003130	-0.000219
0.005165	-0.003880
0.001454	-0.002184
0.008010	-0.006052
-0.000388	0.002932
-0.002829	-0.005148
0.006506	-0.006006
0.000868	0.000484
-0.003531	-0.002812
0.001652	-0.001645
0.002713	-0.001242
0.002703	0.003011
-0.004709	0.001838
-0.000613	-0.002446
0.000466	0.006917
0.003130	0.001267
0.002013	0.000403
0.000101	-0.003272
0.006550	-0.000032
0.004406	0.003421
0.003511	-0.006112
0.006577	-0.006349
0.003173	0.000670
0.001989	0.000886
0.002607	-0.002428
0.005406	0.001205
-0.001568	0.000197
0.000777	-0.000329
-0.000618	0.002047
0.004995	-0.002048
0.007703	-0.004414
0.006450	0.000729
-0.007614	-0.001887
0.001993	-0.006210
0.010277	-0.001677
-0.001251	-0.000436
-0.004537	-0.001820
0.003233	-0.005088
0.004300	0.005044
-0.006011	0.000261
0.005550	-0.005104
-0.000264	0.000839
0.004022	-0.006577
0.008196	-0.001172
-0.000314	-0.003469
0.002217	-0.008901
-0.001500	-0.003770
0.007205	-0.000194
0.000763	0.000784
-0.003961	-0.004368
0.004912	-0.002421
0.001951	0.002373
0.001153	0.003961
0.000727	0.001954
0.004619	-0.002580
0.008301	0.001285
0.000541	-0.000040
0.005456	-0.007421
0.003410	0.001223
0.000607	-0.003467
0.004625	0.003391
0.002876	0.004055
-0.005493	0.000091
0.006642	-0.005125
0.003284	0.009028
-0.001027	-0.002420
0.005544	-0.009597
0.005834	0.004591
-0.001227	0.002334
0.004435	-0.004813
0.002500	-0.004199
0.002841	0.001503
0.003020	-0.000177
0.004678	-0.000217
0.004654	0.005853
-0.002969	-0.004162
0.007034	-0.003276
0.007445	-0.000457
-0.001426	-0.000756
0.003346	-0.006784
0.004301	-0.000514
0.001869	0.001569
-0.003460	-0.000904
0.000679	-0.002119
0.004227	-0.001038
0.001985	0.004988
-0.002582	0.002649
0.004910	-0.005194
0.003013	0.003256
-0.001415	-0.002404
0.009245	-0.003900
0.003133	0.000676
-0.003911	-0.005631
0.002827	-0.007103
0.003760	0.003457
0.002714	0.002112
-0.002890	-0.004780
-0.000071	-0.004955
0.006971	0.003927
0.000548	0.006360
-0.000727	0.000895
0.003210	-0.004902
0.006220	-0.006239
0.008023	0.003854
-0.001473	0.002819
0.000503	-0.010951
0.009023	-0.000009
-0.001536	0.004937
-0.003313	0.000440
0.001876	-0.003329
0.006100	-0.004780
0.002123	0.004821
-0.003143	-0.000304
0.007575	-0.005722
0.007526	-0.002705
0.001031	-0.000004
0.003352	-0.004454
0.005232	0.000719
0.000116	-0.003087
0.003170	-0.002907
0.000713	0.004589
0.000681	0.002324
0.007280	-0.000022
0.003090	0.000350
0.003528	-0.000091
0.004441	0.000755
0.000595	0.000036
0.003058	-0.007483
0.005731	0.001007
-0.000336	-0.001867
-0.002404	0.002145
-0.001850	-0.004321
0.009688	-0.000557
0.001419	0.005540
-0.000535	0.001031
0.006212	-0.000617
0.006795	-0.000600
0.006276	-0.000059
0.000174	-0.005575
0.003462	-0.000288
0.003380	-0.000781
0.006618	0.000510
-0.000533	0.001011
-0.001238	0.000596
0.003653	0.002523
0.006948	0.005620
0.003823	-0.001510
0.001091	0.002967
-0.001407	-0.002058
0.005648	-0.003268
0.005601	0.002343
-0.002754	0.001489
-0.000783	-0.006044
0.008662	-0.001137
-0.000904	0.006739
0.001038	-0.002706
0.003971	-0.001170
0.005392	0.005548
-0.000887	0.003045
0.004878	-0.002398
0.005480	0.000000
0.004878	0.002398
-0.000887	-0.003045
0.005392	-0.005548
0.003971	0.001170
0.001038	0.002706
-0.000904	-0.006739
0.008662	0.001137
-0.000783	0.006044
-0.002754	-0.001489
0.005601	-0.002343
0.005648	0.003268
-0.001407	0.002058
0.001091	-0.002967
0.003823	0.001510
0.006948	-0.005620
0.003653	-0.002523
-0.001238	-0.000596
-0.000533	-0.001011
0.006618	-0.000510
0.003380	0.000781
0.003462	0.000288
0.000174	0.005575
0.006276	0.000059
0.006795	0.000600
0.006212	0.000617
-0.000535	-0.001031
0.001419	-0.005540
0.009688	0.000557
-0.001850	0.004321
-0.002404	-0.002145
-0.000336	0.001867
0.005731	-0.001007
0.003058	0.007483
0.000595	-0.000036
0.004441	-0.000755
0.003528	0.000091
0.003090	-0.000350
0.007280	0.000022
0.000681	-0.002324
0.000713	-0.004589
0.003170	0.002907
0.000116	0.003087
0.005232	-0.000719
0.003352	0.004454
0.001031	0.000004
0.007526	0.002705
0.007575	0.005722
-0.003143	0.000304
0.002123	-0.004821
0.006100	0.004780
0.001876	0.003329
-0.003313	-0.000440
-0.001536	-0.004937
0.009023	0.000009
0.000503	0.010951
-0.001473	-0.002819
0.008023	-0.003854
0.006220	0.006239
0.003210	0.004902
-0.000727	-0.000895
0.000548	-0.006360
0.006971	-0.003927
-0.000071	0.004955
-0.002890	0.004780
0.002714	-0.002112
0.003760	-0.003457
0.002827	0.007103
-0.003911	0.005631
0.003133	-0.000676
0.009245	0.003900
-0.001415	0.002404
0.003013	-0.003256
0.004910	0.005194
-0.002582	-0.002649
0.001985	-0.004988
0.004227	0.001038
0.000679	0.002119
-0.003460	0.000904
0.001869	-0.001569
0.004301	0.000514
0.003346	0.006784
-0.001426	0.000756
0.007445	0.000457
0.007034	0.003276
-0.002969	0.004162
0.004654	-0.005853
0.004678	0.000217
0.003020	0.000177
0.002841	-0.001503
0.002500	0.004199
0.004435	0.004813
-0.001227	-0.002334
0.005834	-0.004591
0.005544	0.009597
-0.001027	0.002420
0.003284	-0.009028
0.006642	0.005125
-0.005493	-0.000091
0.002876	-0.004055
0.004625	-0.003391
0.000607	0.003467
0.003410	-0.001223
0.005456	0.007421
0.000541	0.000040
0.008301	-0.001285
0.004619	0.002580
0.000727	-0.001954
0.001153	-0.003961
0.001951	-0.002373
0.004912	0.002421
-0.003961	0.004368
0.000763	-0.000784
0.007205	0.000194
-0.001500	0.003770
0.002217	0.008901
-0.000314	0.003469
0.008196	0.001172
0.004022	0.006577
-0.000264	-0.000839
0.005550	0.005104
-0.006011	-0.000261
0.004300	-0.005044
0.003233	0.005088
-0.004537	0.001820
-0.001251	0.000436
0.010277	0.001677
0.001993	0.006210
-0.007614	0.001887
0.006450	-0.000729
0.007703	0.004414
0.004995	0.002048
-0.000618	-0.002047
0.000777	0.000329
-0.001568	-0.000197
0.005406	-0.001205
0.002607	0.002428
0.001989	-0.000886
0.003173	-0.000670
0.006577	0.006349
0.003511	0.006112
0.004406	-0.003421
0.006550	0.000032
0.000101	0.003272
0.002013	-0.000403
0.003130	-0.001267
0.000466	-0.006917
-0.000613	0.002446
-0.004709	-0.001838
0.002703	-0.003011
0.002713	0.001242
0.001652	0.001645
-0.003531	0.002812
0.000868	-0.000484
0.006506	0.006006
-0.002829	0.005148
-0.000388	-0.002932
0.008010	0.006052
0.001454	0.002184
0.005165	0.003880
-0.003130	0.000219
0.004890	-0.002338
0.003126	0.003061
0.005202	0.000855
0.002589	0.005296
0.001486	-0.006353
0.011398	0.003094
-0.006007	0.007285
-0.002322	-0.000703
0.004859	-0.000980
0.004016	0.001188
0.002103	0.001439
0.001691	0.004355
0.001572	0.005033
0.003440	-0.001130
0.007110	0.003216
0.001696	0.002452
0.003051	-0.002156
0.005680	0.001936
0.001019	0.001505
0.000787	0.002472
-0.001121	0.000491
0.005210	-0.000756
0.000691	0.001115
0.003249	-0.001421
0.000356	0.004022
-0.001681	0.001975
0.006625	-0.000122
0.004541	0.004792
0.002075	-0.003330
-0.001501	0.000958
-0.004360	0.001145
0.003476	0.003369
0.002553	0.001862
-0.003497	0.000671
-0.005507	0.003025
0.005106	0.002408
0.003991	0.004633
0.000070	0.004450
-0.000532	0.000382
0.005742	-0.001116
0.010320	0.005741
0.001742	0.001745
0.001591	0.001460
0.001148	-0.002574
0.008932	-0.003315
0.004134	0.008354
-0.004489	0.004645
0.001273	0.000050
0.002665	0.002862
0.004802	0.005639
-0.000936	0.003162
0.012260	-0.005147
0.003028	0.009221
0.005827	0.002475
0.000484	0.004035
-0.003993	-0.004875
0.005838	-0.003148
0.002019	0.006124
-0.004857	0.004531
-0.002577	0.000032
0.002647	-0.004919
0.008024	0.007168
-0.002208	0.002058
-0.000679	-0.003637
0.005886	0.000031
0.007632	0.000098
-0.000438	0.004861
-0.004519	-0.001314
0.000223	-0.001078
0.003613	0.000612
-0.002614	0.002158
-0.000540	0.003410
-0.002387	0.002667
0.006397	0.003017
0.005089	0.004398
0.002134	0.004667
0.003983	-0.001419
0.005838	0.007427
0.001795	0.001184
0.005964	-0.000771
-0.000271	0.004908
-0.003780	-0.000414
0.006296	-0.002229
0.007254	-0.001308
0.001079	0.007436
0.002710	-0.003704
0.009115	0.001549
0.004276	0.003189
-0.001438	0.008019
-0.001333	0.002064
0.004840	0.005407
-0.000304	0.002413
0.001477	0.003454
0.003702	0.001428
0.001303	0.000994
0.005580	-0.001700
0.007473	0.000763
0.006031	0.002127
0.005243	-0.001792
0.000428	-0.005874
0.004092	-0.001938
0.000341	0.000640
-0.000894	-0.002236
0.002394	-0.002457
0.000631	0.002353
0.006282	0.003755
0.003719	0.007306
0.004145	0.003364
0.008715	0.003035
0.004319	0.011353
0.005222	0.011423
0.002694	0.001429
0.011954	-0.007218
0.006547	0.003809
-0.005228	0.004408
0.000533	0.000224
0.005929	0.003750
0.004099	-0.004097
0.003990	0.008773
-0.003034	-0.000081
0.013408	0.004312
0.005503	0.007425
0.001696	-0.002097
0.004747	-0.001535
0.006547	0.008538
0.000193	-0.005267
0.008300	0.001191
-0.000486	0.003456
0.007026	0.004080
-0.004328	0.015815
-0.005501	-0.002988
0.006278	0.002470
0.001689	0.008116
0.000601	0.005293
-0.001038	0.004984
0.010012	-0.002815
-0.000565	0.010297
-0.011436	-0.000137
0.007589	-0.008295
0.010443	0.011095
-0.005886	0.002803
0.009416	-0.003935
-0.001187	0.013329
-0.006860	-0.006689
0.014971	0.005918
-0.000720	0.015465
-0.000485	0.000917
0.002163	-0.003741
0.013104	0.006569
-0.002766	0.008591
-0.001997	0.008968
-0.001161	-0.000858
0.006742	0.003119
0.007550	0.006145
0.000296	0.012057
0.003588	-0.004264
0.011839	0.012033
0.001426	0.002937
0.002037	0.002846
0.009404	-0.004585
0.004817	0.002642
0.007151	0.004394
0.004306	0.000135
0.002165	0.008720
0.007751	0.001723
0.000395	0.009967
0.005139	0.008313
0.003022	0.004910
0.006202	0.006107
-0.003576	0.004089
0.004539	0.001697
-0.002409	0.004275
-0.002532	0.008118
0.002803	-0.002907
0.016526	0.008685
-0.006440	0.007068
-0.005251	0.001603
0.009323	0.000424
0.002957	0.008089
-0.003331	0.009428
0.011092	0.004474
0.011184	0.008473
-0.001114	-0.011166
0.009763	-0.000394
-0.000194	0.012127
-0.001022	0.010467
0.007520	-0.015586
0.016230	0.004306
-0.005357	0.012469
-0.014040	0.001258
-0.006686	0.004635
0.013430	0.000305
0.006128	0.014692
-0.004680	-0.002584
-0.003232	0.000310
0.006091	-0.004006
0.015473	0.011233
-0.005360	0.007026
0.001672	0.007325
0.005212	-0.001898
0.022396	0.008206
-0.001116	0.005294
-0.005314	-0.004076
0.007724	0.007376
0.013569	0.010562
0.002266	0.004219
-0.010163	0.003288
-0.003385	-0.004640
0.019725	0.010442
0.003053	0.019195
-0.005566	0.002464
0.000962	0.003067
0.011597	0.000515
0.018584	0.013205
-0.003800	0.015191
-0.002352	-0.007742
0.005494	0.000857
0.014074	0.013219
-0.015627	0.023913
-0.009525	-0.020382
0.016861	0.006911
0.007734	0.006559
0.001351	0.020729
-0.018306	-0.002793
0.012285	-0.009779
0.010667	0.011247
-0.010955	0.016652
-0.003297	0.000748
0.001286	0.002644
0.002815	0.001296
0.012174	0.008197
0.002558	0.015108
-0.004285	0.001939
0.022586	-0.005598
0.010854	0.023437
-0.007721	0.007934
0.005710	0.000791
0.016698	0.001315
0.009854	0.020121
-0.000400	0.002858
0.002163	0.016448
-0.012058	0.014201
0.009737	-0.002564
0.024688	0.010343
-0.015227	0.019833
-0.020903	0.003785
0.023842	-0.006455
0.016173	0.016682
-0.002189	0.008720
0.000042	0.016625
0.005577	-0.011171
0.037839	0.002375
-0.014242	0.019280
-0.018917	-0.002545
0.006989	-0.000415
0.017452	0.020348
0.001694	0.030679
-0.012330	0.013900
0.004208	-0.008151
0.015314	0.011484
-0.005822	0.015833
0.020146	0.007569
0.014529	0.000364
0.003365	0.005267
-0.003666	-0.001891
0.014438	0.013167
0.005232	0.025258
-0.020669	0.004520
0.002038	0.011907
0.017251	0.039749
0.008332	0.027781
-0.002999	-0.011832
0.018263	-0.012459
0.017813	0.017293
-0.000455	0.040389
-0.006657	-0.015094
0.016093	-0.000202
0.013391	0.028535
-0.010507	0.027872
-0.022729	0.009697
0.010914	-0.013201
0.006880	0.042349
-0.023226	0.025954
0.013788	0.005794
0.023115	-0.002316
0.011537	0.008526
-0.023570	0.017666
-0.005670	0.014827
0.004471	0.004692
0.015718	0.009221
0.006846	0.035068
-0.030154	0.008893
0.005107	-0.017694
0.026327	0.028246
-0.033295	0.035890
0.015642	-0.004837
0.027611	0.040876
-0.015682	-0.007522
0.016017	-0.009667
0.000381	0.038221
-0.013885	0.019701
-0.003206	0.009736
0.030752	0.028549
0.023623	0.030533
0.000376	0.014041
-0.012529	0.005977
-0.023451	0.000409
0.022938	0.049922
0.003838	0.018862
0.014630	-0.002130
-0.054073	0.009943
0.031991	0.012259
0.024507	0.026574
-0.023624	0.016581
-0.032960	-0.027243
0.035313	0.023005
